"title","release_year","rental_rate"
"Academy Dinosaur",2006,0.99
"Ace Goldfinger",2006,4.99
"Adaptation Holes",2006,2.99
"Affair Prejudice",2006,2.99
"African Egg",2006,2.99
"Agent Truman",2006,2.99
"Airplane Sierra",2006,4.99
"Airport Pollock",2006,4.99
"Alabama Devil",2006,2.99
"Aladdin Calendar",2006,4.99
"Alamo Videotape",2006,0.99
"Alaska Phantom",2006,0.99
"Ali Forever",2006,4.99
"Alice Fantasia",2006,0.99
"Alien Center",2006,2.99
"Alley Evolution",2006,2.99
"Alone Trip",2006,0.99
"Alter Victory",2006,0.99
"Amadeus Holy",2006,0.99
"Amelie Hellfighters",2006,4.99
"American Circus",2006,4.99
"Amistad Midsummer",2006,2.99
"Anaconda Confessions",2006,0.99
"Analyze Hoosiers",2006,2.99
"Angels Life",2006,2.99
"Annie Identity",2006,0.99
"Anonymous Human",2006,0.99
"Anthem Luke",2006,4.99
"Antitrust Tomatoes",2006,2.99
"Anything Savannah",2006,2.99
"Apache Divine",2006,4.99
"Apocalypse Flamingos",2006,4.99
"Apollo Teen",2006,2.99
"Arabia Dogma",2006,0.99
"Arachnophobia Rollercoaster",2006,2.99
"Argonauts Town",2006,0.99
"Arizona Bang",2006,2.99
"Ark Ridgemont",2006,0.99
"Armageddon Lost",2006,0.99
"Army Flintstones",2006,0.99
"Arsenic Independence",2006,0.99
"Artist Coldblooded",2006,2.99
"Atlantis Cause",2006,2.99
"Attacks Hate",2006,4.99
"Attraction Newton",2006,4.99
"Autumn Crow",2006,4.99
"Baby Hall",2006,4.99
"Backlash Undefeated",2006,4.99
"Badman Dawn",2006,2.99
"Baked Cleopatra",2006,2.99
"Balloon Homeward",2006,2.99
"Ballroom Mockingbird",2006,0.99
"Bang Kwai",2006,2.99
"Banger Pinocchio",2006,0.99
"Barbarella Streetcar",2006,2.99
"Barefoot Manchurian",2006,2.99
"Basic Easy",2006,2.99
"Beach Heartbreakers",2006,2.99
"Bear Graceland",2006,2.99
"Beast Hunchback",2006,4.99
"Beauty Grease",2006,4.99
"Bed Highball",2006,2.99
"Bedazzled Married",2006,0.99
"Beethoven Exorcist",2006,0.99
"Behavior Runaway",2006,4.99
"Beneath Rush",2006,0.99
"Berets Agent",2006,2.99
"Betrayed Rear",2006,4.99
"Beverly Outlaw",2006,2.99
"Bikini Borrowers",2006,4.99
"Bilko Anonymous",2006,4.99
"Bill Others",2006,2.99
"Bingo Talented",2006,2.99
"Birch Antitrust",2006,4.99
"Bird Independence",2006,4.99
"Birdcage Casper",2006,0.99
"Birds Perdition",2006,4.99
"Blackout Private",2006,2.99
"Blade Polish",2006,0.99
"Blanket Beverly",2006,2.99
"Blindness Gun",2006,4.99
"Blood Argonauts",2006,0.99
"Blues Instinct",2006,2.99
"Boiled Dares",2006,4.99
"Bonnie Holocaust",2006,0.99
"Boogie Amelie",2006,4.99
"Boondock Ballroom",2006,0.99
"Born Spinal",2006,4.99
"Borrowers Bedazzled",2006,0.99
"Boulevard Mob",2006,0.99
"Bound Cheaper",2006,0.99
"Bowfinger Gables",2006,4.99
"Brannigan Sunrise",2006,4.99
"Braveheart Human",2006,2.99
"Breakfast Goldfinger",2006,4.99
"Breaking Home",2006,2.99
"Bride Intrigue",2006,0.99
"Bright Encounters",2006,4.99
"Bringing Hysterical",2006,2.99
"Brooklyn Desert",2006,4.99
"Brotherhood Blanket",2006,0.99
"Bubble Grosse",2006,4.99
